check_id,release,stage,section,entity,metric,expected,actual,unit,difference,status,method,source_document,source_page,source_url,notes,release_gate
N0001,FY 2025-26,adopted,Release headlines,FY 2025-26 adopted,net_operating_cents,857560600000,857560600000,cents,0,PASS,independent transcription → database,Budget in Brief,3,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0002,FY 2025-26,adopted,Release headlines,FY 2025-26 adopted,capital_cents,465763200000,465763200000,cents,0,PASS,independent transcription → database,Budget in Brief,3,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0003,FY 2025-26,adopted,Release headlines,FY 2025-26 adopted,total_budget_cents,1323323800000,1323323800000,cents,0,PASS,independent transcription → database,Budget in Brief,3,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0004,FY 2025-26,adopted,Release headlines,FY 2025-26 adopted,employees,31996,31996,positions,0,PASS,independent transcription → database,Budget in Brief,3,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0005,FY 2025-26,adopted,Revenue,Proprietary,amount,362714200000,362714200000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0006,FY 2025-26,adopted,Revenue,Proprietary,published percentage,42,42.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0007,FY 2025-26,adopted,Revenue,Federal and State Grants,amount,39942800000,39942800000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0008,FY 2025-26,adopted,Revenue,Federal and State Grants,published percentage,5,5.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0009,FY 2025-26,adopted,Revenue,Property Tax,amount,325079700000,325079700000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0010,FY 2025-26,adopted,Revenue,Property Tax,published percentage,38,38.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0011,FY 2025-26,adopted,Revenue,Sales Tax,amount,48259700000,48259700000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0012,FY 2025-26,adopted,Revenue,Sales Tax,published percentage,6,6.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
