fiscal_year,strategic_area,department_name,department_alias,operating_budget,capital_budget,employee_count,is_actual
FY 2023-24,Policy Formulation,Office of the Mayor,,9057000,0,,true
FY 2023-24,Policy Formulation,Board of County Commissioners,,35044000,0,,true
FY 2023-24,Policy Formulation,County Attorney's Office,,28757000,0,,true
FY 2023-24,Public Safety,Corrections and Rehabilitation,,515852000,0,,true
FY 2023-24,Public Safety,Fire Rescue,,666830000,0,,true
FY 2023-24,Public Safety,Emergency Management,,11904000,0,,true
FY 2023-24,Public Safety,Judicial Administration,,40537000,0,,true
FY 2023-24,Public Safety,Juvenile Services,,16349000,0,,true
FY 2023-24,Public Safety,Law Library,,441000,0,,true
FY 2023-24,Public Safety,Legal Aid,,5776000,0,,true
FY 2023-24,Public Safety,Medical Examiner,,16424000,0,,true
FY 2023-24,Public Safety,Miami-Dade Economic Advocacy Trust,,914000,0,,true
FY 2023-24,Public Safety,Sheriff's Office,,948336000,0,,true
FY 2023-24,Public Safety,General Government Improvement Fund,,13624000,0,,true
FY 2023-24,Public Safety,Non-Departmental,,8152000,0,,true
FY 2023-24,Public Safety,Independent Civilian Panel,,720000,0,,true
FY 2023-24,Transportation & Mobility,Office of the Citizens' Independent Transportation Trust,,3055000,0,,true
FY 2023-24,Transportation & Mobility,Transportation and Public Works,,777836000,0,,true
FY 2023-24,Transportation & Mobility,Non-Departmental,,39206000,0,,true
FY 2023-24,Recreation & Culture,Adrienne Arsht Center for the Performing Arts Trust,,14558000,0,,true
FY 2023-24,Recreation & Culture,Cultural Affairs,,54481000,0,,true
FY 2023-24,Recreation & Culture,HistoryMiami,,4000000,0,,true
FY 2023-24,Recreation & Culture,Library,,93650000,0,,true
FY 2023-24,Recreation & Culture,"Parks, Recreation and Open Spaces",,201063000,0,,true
FY 2023-24,Recreation & Culture,Perez Art Museum Miami,,4000000,0,,true
FY 2023-24,Recreation & Culture,Tourist Taxes,,209183000,0,,true
FY 2023-24,Recreation & Culture,Vizcaya Museum and Gardens,,4000000,0,,true
FY 2023-24,Recreation & Culture,General Government Improvement Fund,,3458000,0,,true
FY 2023-24,Recreation & Culture,Non-Departmental,,7192000,0,,true
FY 2023-24,Neighborhood & Infrastructure,Animal Services,,39101000,0,,true
FY 2023-24,Neighborhood & Infrastructure,"Parks, Recreation and Open Spaces",,77084000,0,,true
FY 2023-24,Neighborhood & Infrastructure,Regulatory and Economic Resources,,200376000,0,,true
FY 2023-24,Neighborhood & Infrastructure,Solid Waste Management,,400710000,0,,true
FY 2023-24,Neighborhood & Infrastructure,Transportation and Public Works,,42903000,0,,true
FY 2023-24,Neighborhood & Infrastructure,Water and Sewer,,795105000,0,,true
FY 2023-24,Neighborhood & Infrastructure,General Government Improvement Fund,,5921000,0,,true
FY 2023-24,Neighborhood & Infrastructure,Non-Departmental,,3340000,0,,true
FY 2023-24,Health & Society,Community Services,,182415000,0,,true
FY 2023-24,Health & Society,Homeless Trust,,76245000,0,,true
FY 2023-24,Health & Society,Jackson Health System,,296092000,0,,true
FY 2023-24,Health & Society,Management and Budget,,27751000,0,,true
FY 2023-24,Health & Society,Housing and Community Development,,122733000,0,,true
FY 2023-24,Health & Society,General Government Improvement Fund,,7522000,0,,true
FY 2023-24,Health & Society,Non-Departmental,,89483000,0,,true
FY 2023-24,Economic Development,Aviation,,604572000,0,,true
FY 2023-24,Economic Development,Miami-Dade Economic Advocacy Trust,,5690000,0,,true
FY 2023-24,Economic Development,Housing and Community Development,,115735000,0,,true
FY 2023-24,Economic Development,Regulatory and Economic Resources,,3153000,0,,true
FY 2023-24,Economic Development,Seaport,,154111000,0,,true
FY 2023-24,Economic Development,Non-Departmental,,95696000,0,,true
FY 2023-24,General Government,Audit and Management Services,,5521000,0,,true
FY 2023-24,General Government,Commission on Ethics and Public Trust,,3048000,0,,true
FY 2023-24,General Government,Communications and Customer Experience,,25723000,0,,true
FY 2023-24,General Government,Supervisor of Elections,,45356000,0,,true
FY 2023-24,General Government,Finance,,9506000,0,,true
FY 2023-24,General Government,Inspector General,,7773000,0,,true
FY 2023-24,General Government,Human Resources,,20873000,0,,true
FY 2023-24,General Government,Information Technology,,241592000,0,,true
FY 2023-24,General Government,Internal Services,,322571000,0,,true
FY 2023-24,General Government,Management and Budget,,21286000,0,,true
FY 2023-24,General Government,Property Appraiser,,52906000,0,,true
FY 2023-24,General Government,General Government Improvement Fund,,15174000,0,,true
FY 2023-24,General Government,Non-Departmental,,142550000,0,,true
FY 2023-24,General Government,Strategic Procurement,,19449000,0,,true
FY 2023-24,Constitutional Offices,Tax Collector,,31968000,0,,true
FY 2023-24,Constitutional Offices,Clerk of the Court and Comptroller,,44326000,0,,true
FY 2023-24,Constitutional Offices,Transfers,,30807000,0,,true
